,cost,meters,rooms,dist,floor
0,395000.0,37.38,2.0,Jeżyce,0.0
1,413572.0,41.25,2.0,Nowe Miasto,0.0
2,618000.0,69.2,4.0,Jeżyce,0.0
3,334000.0,30.34,1.0,Jeżyce,2.0
4,491000.0,51.61,3.0,Jeżyce,1.0
5,420805.0,54.65,2.0,Stare Miasto,4.0
6,597000.0,69.81,4.0,Jeżyce,1.0
7,481928.0,39.47,2.0,Grunwald,2.0
8,486884.0,39.84,2.0,Grunwald,2.0
9,646584.0,59.98,4.0,Grunwald,1.0
10,653040.0,72.56,4.0,Jeżyce,0.0
11,637347.0,59.98,4.0,Grunwald,0.0
12,526361.0,48.29,2.0,Jeżyce,0.0
13,382826.0,34.52,2.0,Nowe Miasto,5.0
14,453707.0,39.47,2.0,Grunwald,1.0
15,324486.0,25.43,1.0,Grunwald,1.0
16,426004.0,49.57,3.0,Stare Miasto,4.0
17,649000.0,83.0,4.0,Grunwald,0.0
18,683100.0,59.4,3.0,Wilda,1.0
19,627272.0,70.48,3.0,Jeżyce,0.0
20,399360.0,41.6,2.0,Nowe Miasto,2.0
21,448931.0,39.47,2.0,Grunwald,0.0
22,409035.0,40.7,2.0,Nowe Miasto,0.0
23,409640.0,46.55,2.0,Stare Miasto,0.0
24,438240.0,39.84,2.0,Grunwald,1.0
25,393000.0,34.21,2.0,Nowe Miasto,1.0
26,412000.0,39.26,2.0,Jeżyce,3.0
27,639000.0,54.23,3.0,Stare Miasto,2.0
28,281579.0,27.01,1.0,Stare Miasto,0.0
29,567459.0,52.91,3.0,Grunwald,4.0
30,340000.0,30.34,1.0,Jeżyce,3.0
31,495000.0,52.01,3.0,Jeżyce,1.0
32,542000.0,60.59,3.0,Jeżyce,2.0
33,668357.0,59.98,4.0,Grunwald,4.0
34,391078.0,37.15,1.0,Grunwald,4.0
35,393000.0,37.36,2.0,Jeżyce,1.0
36,461748.0,50.19,3.0,Wilda,1.0
37,437460.0,47.55,2.0,Grunwald,0.0
38,638389.0,67.1,3.0,Grunwald,3.0
39,293000.0,27.19,1.0,Jeżyce,0.0
40,415800.0,37.8,2.0,Nowe Miasto,4.0
41,314951.0,34.61,1.0,Nowe Miasto,0.0
42,488007.0,50.31,2.0,Wilda,5.0
43,429755.0,43.69,2.0,Nowe Miasto,2.0
44,619000.0,54.8,3.0,Stare Miasto,2.0
45,638750.0,73.0,3.0,Grunwald,0.0
46,344608.0,39.16,1.0,Stare Miasto,0.0
47,487350.0,64.98,4.0,Stare Miasto,0.0
48,481424.0,49.3,2.0,Grunwald,3.0
49,464775.0,61.97,3.0,Stare Miasto,0.0
50,479000.0,55.87,3.0,Grunwald,2.0
